Merge,Conflicts,Javas,Merge_Type
cccd566a1a549b61f8232d0c9c8c2d6957be7108,21,16,"Method:121,MethodComment:2,Field:5,Import:2,Constructor:3"
d7f59d4c915626c238d58c4d94120e3c145c648b,1,0,
659936beae693885ba16727a562298eb1651839a,34,10,"Constructor:5,Method:48,Field:56,FieldComment:51,Import:4,MethodComment:1"
0352af015fa313a1be3deda6956fa4bcd8f50e66,36,15,"Field:19,Method:155,FieldComment:5,Import:2,Constructor:5,MethodComment:2"
ce9c0447f946d8fe20d020f01b6548c815579848,7,6,"Import:3,Method:279,Field:21,Constructor:24,ClsDecl:3,MethodComment:4,FieldComment:6"
b95e715706d92e7c3225737115919c115c957de4,3,3,"Field:1,Constructor:1,Method:33,FieldComment:2"
