Merge,Conflicts,Javas,Merge_Type
c19f0656f0ae13d74c73f838ec1765d90f686fed,24,18,"Field:19,Method:243,Constructor:12,MethodComment:4,ClsDecl:1,Import:1"
4d3fd15a6b3da9733829f275490f9a3278fe99f7,53,43,"Field:88,Method:546,FieldComment:26,MethodComment:30,Import:9,Constructor:39,EnumComment:1,ClsDecl:3"
79440ed0b4cd9ae1fff3f866abf3d449289678d4,2,2,"Field:4,Import:1,Method:4,FieldComment:1"
