branch,total,conflict
android-6.0,28,9
android-11,167,102
android-4.3,3,1
android-10,10,3
android-4.4,5,2
android-8.1-staging,2,2
android-5.1,0,0
android-5.0,0,0
android-7.0,4,0
android-7.1,11,3
android-9.0,13,4
android-8.0,0,0
android-8.1,8,2
