branch,total,conflict
revert-260-pie-motomods,18,6
pie,2,1
test_branch,1,0
oreo-evo,2,1
hw3,3,1
backup_marshmallow_stable,1,1
tiles-backup,0,0
test_fp,0,0
fod1.1_1,0,0
fod-ext,0,0
oreo-r30-treble,6,1
pie-gsi,0,0
marshmallow,5,2
backup-pure,0,0
ls_blur,0,0
ten,1,0
nougat,0,0
oreo-treble,0,0
oreo,6,3
revert-159-nougat,0,0
Q,0,0
berry,0,0
fod-1.0-backup,0,0
