branch,total,conflict
revert-260-pie-motomods,18,6
pie,20,7
test_branch,1,0
oreo-evo,3,1
hw3,3,1
backup_marshmallow_stable,1,1
tiles-backup,16,5
test_fp,1,0
fod1.1_1,3,1
fod-ext,3,1
oreo-r30-treble,6,1
pie-gsi,18,6
marshmallow,6,3
backup-pure,1,0
ls_blur,1,0
ten,1,0
nougat,3,1
oreo-treble,6,1
oreo,12,4
revert-159-nougat,1,0
Q,3,1
berry,2,0
fod-1.0-backup,3,1
