210ffeddc507ad57bbe0c8ff8d84a3c3bbe945e9,"['afw-test-harness-1.5', 'bde42b56b84fb2f184f83f2a00fb00a1bd4db22e\n']"
c43710c38559be2cf8129bb724cc84dc3bc42242,"['afw-test-harness-2.1', '0813c5aaa9ee870a4bac375e462c296aa28ef6a6\n']"
612f8c1c2416c3b1ba4e604420cf80de7adaca45,"['android-1.6_r1', '8f4b5a561813ee8c22d2b8e73c33299471d4a3f3\n']"
3fc7959ec1247c0620ae624866912bb80504197f,"['android-1.6_r1.1', 'dde8b50b87fdb6849428fff7808e060489b31142\n']"
50a3499f76992ea5b6d3ca6bca3731c97c442ade,"['android-1.6_r1.2', 'dde8b50b87fdb6849428fff7808e060489b31142\n']"
767c9396c8321b70a98d0776a84c8d298423c702,"['android-1.6_r1.3', 'dde8b50b87fdb6849428fff7808e060489b31142\n']"
78b0b45376bebbc7ae029010b0313d392918da27,"['android-1.6_r1.4', 'dde8b50b87fdb6849428fff7808e060489b31142\n']"
072c68510a580e8726d76c19439dbfa0ec7f2488,"['android-1.6_r1.5', 'a16a12a27d1f25c3f3aa5f9a10fd202df785a82d\n']"
463224bee1a10d952c63be7cf544df8d6b48ecb0,"['android-1.6_r2', 'b6debd72fdf4a769d4749ef25ac8ece6a4e436dd\n']"
86e1b88457ce70ec40aa2f94af36267993fd4145,"['android-10.0.0_r1', '57bb140be9e48cf08acba131f7463e461777bb8e\n']"
5b67032294a3d2dd85d356bf4c28647036a7d7c6,"['android-10.0.0_r10', '37a24f52e6be75e7f7db461e3bee465152318c99\n']"
0eab054a517e2b5034cd05fbd340f37aade5f72c,"['android-10.0.0_r11', '37a24f52e6be75e7f7db461e3bee465152318c99\n']"
f0005d83f099ad1d741b1e2a27f1dba6a90f1454,"['android-10.0.0_r12', 'be207990f30ff64a2d46d8acd0d2fd72c55dea7f\n']"
48771ef68d80b81072c0d1a4931ba785d97c5676,"['android-10.0.0_r13', '3cb7acada3c6fe21bf483ec77e1c8e91c3ae3009\n']"
9dac4ed2a4c7a96d4b055f631406be2017fa29a2,"['android-10.0.0_r14', '0bb75e9b0388e46e2ea805901e74b5bbd73b75d0\n']"
f8b2fc9fc386cf285d6b32c36fbdddae037ea29f,"['android-10.0.0_r15', '0d7e17eb676695de8b19ad2ec33fdfcefa165b97\n']"
b11ec26359a5b45906e30b25d38b820a48610e4f,"['android-10.0.0_r16', '0d7e17eb676695de8b19ad2ec33fdfcefa165b97\n']"
c5c0a1f4836eb74c7b9b533bd0b5185ccd06827c,"['android-10.0.0_r17', 'a268c123c47097277ca94c6834931680d70b1bcf\n']"
