branch,total,conflict
oreo,36,12
pie-bot,57,23
bacon,3,2
marshmallow-caf,5,5
quartz,109,56
lollipop-mr1-bak,4,1
pie,57,23
nougat-mr2,4,3
oreo-mr1,48,18
nougat-mr1,1,1
oreo-bot,36,12
quartz-rebase,102,54
pie-qssi,49,20
nougat-mr2-bot,4,3
lollipop,2,0
oreo-mr1-bot,48,18
lollipop-mr1,2,1
quartz-backup,101,53
quartz-04282020,104,54
kitkat,3,2
nougat,1,0
4.4.2,1,1
quartz-dev,99,52
marshmallow,15,5
quartz-bot,108,56
ruby,167,101
adb,1,1
