Merge,Conflicts,Javas,Merge_Type
e8174c12c846a42561df0f8b6e9b713f5d1739dd,1,1,Method:4
1806b30b6bd01c36b0daee5067ee9a7fcca34b06,1,1,"Field:2,Constructor:1,FieldComment:1,MethodComment:4,Method:13"
503de6ae1150ca1ad8db2310afe2f9914af10bde,1,1,"Constructor:1,Method:13"
536f3c3d169e3b000ecda3f6a8b3fe34d4d43081,1,1,"Field:1,Method:7"
fd92173d2690dc7af718fa58fdea9584cd224257,1,1,"Field:1,Method:5"
a858b99a88d045ffcbc8f0af026b8eb1b04f26b0,7,3,"Field:2,Constructor:9,MethodComment:1,Method:58,FieldComment:1"
9c7fa13459a4bf9b21cf2b51663aa035e0668214,29,22,"Import:1,Method:126,Field:13,Constructor:5,FieldComment:4,MethodComment:1"
467f41853b8179ce28f9b2c0e7218ae17c58e209,1,1,"Constructor:1,Method:8"
c2930056ad95928cc2abd5d613abaff446ccc460,3,1,Method:6
0457434c537b654076b056857db84571e2260047,4,3,"Method:109,MethodComment:1"
8848bcfd1f1e51ba436dc05455b91307a22cb7d6,1,1,Method:3
85f55081330e38f066b34346d30a2847c995158f,3,3,"Field:10,Method:13,Constructor:1"
146f55aab4d7ed8ba634ce82aaa49f217f4a3eeb,1,1,"FieldComment:1,Method:1"
fd117d6b7f2cedd6730b48884a9cac9460aca62f,1,1,Method:4
197a9c1ac98bac21740d3f43a1346d33fbb92706,3,0,
2d38af1b87184e171c6df6a2248bb8544a9c05bd,12,8,"Method:35,Field:1,Constructor:1"
d7576c1539aa53d8126890738160451075e87158,11,10,"Method:82,Constructor:2,Field:3,FieldComment:2,MethodComment:10,ClsInterfaceComment:1"
7a6837d789086907832595a83caae9fc233187b7,3,3,"Field:27,Method:9"
