branch,total,conflict
ng7.1,2,2
or8.1,4,1
9.0,5,2
kk4.4-sdk,1,1
mm6.0,4,3
kk4.4,5,2
jb,6,4
kk4.4-apktool,1,1
lp5.0-caf,2,1
lp5.0,2,1
lp5.1,2,2
jb-exp,6,4
kk4.4-caf,2,0
