Merge,Conflicts,Javas,AST
71e7ac47011f2e4b043bb5633d5752fc6929ef6f,40,27,"[['packages/SystemUI/src/com/android/systemui/statusbar/phone/ButtonDispatcher.java', [[191, 217, 27, 82, ['<com.android.systemui.statusbar.phone.ButtonDispatcher: void updateDrawable()>#191#195', '<com.android.systemui.statusbar.phone.ButtonDispatcher: void unscheduleDrawable(Drawable,Runnable)>#214#219', '<com.android.systemui.statusbar.phone.ButtonDispatcher: void invalidateDrawable(Drawable)>#198#203', '<com.android.systemui.statusbar.phone.ButtonDispatcher: void scheduleDrawable(Drawable,Runnable,long)>#206#211']]], [[187, 194, 8, 30, ['<com.android.systemui.statusbar.phone.ButtonDispatcher: void setVertical(boolean)>#187#196']]]], ['packages/SystemUI/src/com/android/systemui/power/PowerUI.java', [[66, 67, 2, 0, []], [237, 254, 18, 52, ['<com.android.systemui.power.PowerUI: void playPowerNotificationSound()>#237#255']]], [[68, 71, 4, 0, []], [229, 327, 99, 229, ['<com.android.systemui.power.PowerUI: void logTemperatureStats()>#298#324', '<com.android.systemui.power.PowerUI: void setNextLogTime()>#326#328', '<com.android.systemui.power.PowerUI: void logAtTemperatureThreshold(float)>#281#291', '<com.android.systemui.power.PowerUI: void initTemperatureWarning()>#229#256', '<com.android.systemui.power.PowerUI: void updateTemperatureWarning()>#258#279']]]], ['core/java/android/bluetooth/BluetoothAdapter.java', [[774, 774, 1, 4, ['<android.bluetooth.BluetoothAdapter: boolean enableBLE()>#770#786']], [780, 780, 1, 4, ['<android.bluetooth.BluetoothAdapter: boolean enableBLE()>#770#786']], [903, 905, 3, 12, ['<android.bluetooth.BluetoothAdapter: boolean enable()>#902#912']]], [[769, 770, 2, 9, ['<android.bluetooth.BluetoothAdapter: boolean enableBLE()>#765#782']], [776, 776, 1, 3, ['<android.bluetooth.BluetoothAdapter: boolean enableBLE()>#765#782']], [898, 899, 2, 6, ['<android.bluetooth.BluetoothAdapter: boolean enable()>#897#906']]]], ['packages/SystemUI/src/com/android/systemui/statusbar/policy/DeadZone.java', [[136, 148, 13, 24, ['<com.android.systemui.statusbar.policy.DeadZone: boolean onTouchEvent(MotionEvent)>#117#160']], [190, 197, 8, 20, ['<com.android.systemui.statusbar.policy.DeadZone: void onDraw(Canvas)>#184#207']]], [[135, 147, 13, 22, ['<com.android.systemui.statusbar.policy.DeadZone: boolean onTouchEvent(MotionEvent)>#116#159']], [184, 190, 7, 21, ['<com.android.systemui.statusbar.policy.DeadZone: void onDraw(Canvas)>#178#200']]]], ['services/core/java/com/android/server/BluetoothManagerService.java', [[457, 473, 17, 41, ['<com.android.server.BluetoothManagerService.ClientDeathRecipient: void binderDied()>#457#476']], [662, 666, 5, 15, ['<com.android.server.BluetoothManagerService: boolean enable(String)>#662#691']], [1403, 1408, 6, 12, ['<com.android.server.BluetoothManagerService.BluetoothHandler: void handleMessage(Message)>#1153#1604']], [1711, 1767, 57, 119, ['<com.android.server.BluetoothManagerService: void bluetoothStateChangeHandler(int,int)>#1709#1797']], [1780, 1794, 15, 42, ['<com.android.server.BluetoothManagerService: void bluetoothStateChangeHandler(int,int)>#1709#1797']], [1834, 1875, 42, 76, ['<com.android.server.BluetoothManagerService: void sendDisableMsg()>#1875#1877', '<com.android.server.BluetoothManagerService: boolean waitForMonitoredOnOff(boolean,boolean)>#1839#1873']]], [[503, 521, 19, 35, ['<com.android.server.BluetoothManagerService.ClientDeathRecipient: void binderDied()>#509#528', '<com.android.server.BluetoothManagerService.ClientDeathRecipient: void <init>(String)>#505#507']], [710, 727, 18, 38, ['<com.android.server.BluetoothManagerService: boolean enable(String)>#710#744']], [1476, 1476, 1, 2, ['<com.android.server.BluetoothManagerService.BluetoothHandler: void handleMessage(Message)>#1238#1672']], [1780, 1793, 14, 27, ['<com.android.server.BluetoothManagerService: void bluetoothStateChangeHandler(int,int)>#1778#1851']], [1830, 1843, 14, 27, ['<com.android.server.BluetoothManagerService: void bluetoothStateChangeHandler(int,int)>#1778#1851']], [1888, 1888, 1, 5, ['<com.android.server.BluetoothManagerService: void sendDisableMsg(String)>#1888#1891']]]], ['telephony/java/android/telephony/DisconnectCause.java', [[299, 299, 1, 0, []], [306, 306, 1, 0, []], [428, 525, 98, 98, ['<android.telephony.DisconnectCause: String toString(int)>#314#529']]], [[251, 251, 1, 0, []], [258, 258, 1, 0, []], [380, 381, 2, 2, ['<android.telephony.DisconnectCause: String toString(int)>#266#385']]]], ['services/core/java/com/android/server/display/AutomaticBrightnessController.java', [[53, 64, 12, 0, []], [197, 198, 2, 6, ['<com.android.server.display.AutomaticBrightnessController: void <init>(Callbacks,Looper,SensorManager,Spline,int,int,int,float,int,long,long,long,boolean,int,float)>#194#227']], [327, 327, 1, 8, ['<com.android.server.display.AutomaticBrightnessController: void handleLightSensorEvent(long,float)>#324#330']]], [[50, 50, 1, 0, []], [191, 191, 1, 6, ['<com.android.server.display.AutomaticBrightnessController: void <init>(Callbacks,Looper,SensorManager,Spline,int,int,int,float,int,int,long,long,boolean,int,float,boolean,boolean,LuxLevels)>#188#225']], [330, 333, 4, 5, ['<com.android.server.display.AutomaticBrightnessController: void handleLightSensorEvent(long,float)>#327#344']]]], ['services/core/java/com/android/server/lights/LightsService.java', [[1, 3, 3, 0, []], [140, 141, 2, 13, ['<com.android.server.lights.LightsService.LightImpl: void setLightLocked(int,int,int,int,int)>#139#162']], [174, 177, 4, 0, []]], [[1, 1, 1, 0, []], [126, 133, 8, 17, ['<com.android.server.lights.LightsService.LightImpl: void setLightLocked(int,int,int,int,int)>#125#150']], [165, 166, 2, 0, []]]], ['packages/SystemUI/src/com/android/systemui/statusbar/phone/NotificationPanelView.java', [[66, 67, 2, 0, []], [83, 83, 1, 0, []]], [[64, 64, 1, 0, []], [74, 74, 1, 0, []]]], ['services/usb/java/com/android/server/usb/UsbDeviceManager.java', [[348, 356, 9, 30, ['<com.android.server.usb.UsbDeviceManager.UsbHandler: void <init>(Looper)>#335#385']]], [[357, 369, 13, 22, ['<com.android.server.usb.UsbDeviceManager.UsbHandler: void <init>(Looper)>#347#384']]]], ['services/core/java/com/android/server/power/PowerManagerService.java', [[641, 642, 2, 6, ['<com.android.server.power.PowerManagerService: void systemReady(IAppOpsService)>#628#769']]], [[591, 591, 1, 3, ['<com.android.server.power.PowerManagerService: void systemReady(IAppOpsService)>#578#692']]]], ['core/java/android/bluetooth/BluetoothProfile.java', [[140, 143, 4, 0, []]], [[140, 144, 5, 0, []]]], ['packages/SystemUI/src/com/android/systemui/statusbar/phone/PhoneStatusBar.java', [[179, 179, 1, 0, []], [210, 211, 2, 0, []], [230, 230, 1, 0, []], [1134, 1134, 1, 6, ['<com.android.systemui.statusbar.phone.PhoneStatusBar: PhoneStatusBarView makeStatusBarView()>#860#1155']]], [[171, 171, 1, 0, []], [0, 0, 0, 0, []], [216, 216, 1, 0, []], [1002, 1002, 1, 4, ['<com.android.systemui.statusbar.phone.PhoneStatusBar: PhoneStatusBarView makeStatusBarView()>#737#1023']]]], ['services/java/com/android/server/SystemServer.java', [[223, 223, 1, 0, []]], [[211, 211, 1, 0, []]]], ['services/core/java/com/android/server/display/DisplayPowerController.java', [[367, 369, 3, 6, ['<com.android.server.display.DisplayPowerController: void <init>(Context,DisplayPowerCallbacks,Handler,SensorManager,DisplayBlanker)>#264#386']]], [[391, 394, 4, 9, ['<com.android.server.display.DisplayPowerController: void <init>(Context,DisplayPowerCallbacks,Handler,SensorManager,DisplayBlanker)>#261#411']]]], ['services/core/java/com/android/server/am/ActivityManagerService.java', [[21191, 21218, 28, 82, ['<com.android.server.am.ActivityManagerService: void updateOomAdjLocked()>#21111#21576']], [0, 0, 0, 0, []]], [[20989, 20991, 3, 3, ['<com.android.server.am.ActivityManagerService: void updateOomAdjLocked()>#20912#21344']], [21934, 21942, 9, 19, ['<com.android.server.am.ActivityManagerService.LocalService: void grantUriPermissionFromIntent(int,String,Intent,int)>#21934#21940']]]], ['core/java/android/app/admin/DevicePolicyManager.java', [[6629, 6645, 17, 23, ['<android.app.admin.DevicePolicyManager: boolean requireSecureKeyguard(int)>#6637#6646', '<android.app.admin.DevicePolicyManager: boolean requireSecureKeyguard()>#6632#6634']]], [[6639, 6712, 74, 53, ['<android.app.admin.DevicePolicyManager: void setNetworkLoggingEnabled(ComponentName,boolean)>#6652#6659', '<android.app.admin.DevicePolicyManager: boolean isNetworkLoggingEnabled(ComponentName)>#6672#6679', '<android.app.admin.DevicePolicyManager: List<NetworkEvent> retrieveNetworkLogs(ComponentName,long)>#6705#6713']]]], ['telecomm/java/android/telecom/ParcelableCall.java', [[42, 42, 1, 0, []], [68, 68, 1, 2, ['<android.telecom.ParcelableCall: void <init>(String,int,DisconnectCause,List<String>,int,int,long,long,Uri,int,String,int,GatewayInfo,PhoneAccountHandle,boolean,IVideoProvider,String,List<String>,StatusHints,int,List<String>,Bundle,Bundle)>#61#108']], [91, 91, 1, 2, ['<android.telecom.ParcelableCall: void <init>(String,int,DisconnectCause,List<String>,int,int,long,long,Uri,int,String,int,GatewayInfo,PhoneAccountHandle,boolean,IVideoProvider,String,List<String>,StatusHints,int,List<String>,Bundle,Bundle)>#61#108']], [143, 145, 3, 4, ['<android.telecom.ParcelableCall: long getCreateTimeMillis()>#144#146']], [311, 311, 1, 0, []]], [[42, 42, 1, 0, []], [68, 68, 1, 2, ['<android.telecom.ParcelableCall: void <init>(String,int,DisconnectCause,List<String>,int,int,int,long,Uri,int,String,int,GatewayInfo,PhoneAccountHandle,boolean,IVideoProvider,String,List<String>,StatusHints,int,List<String>,Bundle,Bundle)>#61#108']], [91, 91, 1, 2, ['<android.telecom.ParcelableCall: void <init>(String,int,DisconnectCause,List<String>,int,int,int,long,Uri,int,String,int,GatewayInfo,PhoneAccountHandle,boolean,IVideoProvider,String,List<String>,StatusHints,int,List<String>,Bundle,Bundle)>#61#108']], [143, 145, 3, 4, ['<android.telecom.ParcelableCall: int getSupportedAudioRoutes()>#144#146']], [311, 311, 1, 0, []]]], ['core/java/android/provider/Settings.java', [[6555, 6564, 10, 0, []], [6651, 6652, 2, 0, []]], [[6409, 6412, 4, 0, []], [6498, 6498, 1, 0, []]]], ['packages/SystemUI/src/com/android/systemui/recents/ScreenPinningRequest.java', [[237, 250, 14, 48, ['<com.android.systemui.recents.ScreenPinningRequest.RequestWindowView: void inflateView(boolean)>#205#253']]], [[233, 240, 8, 40, ['<com.android.systemui.recents.ScreenPinningRequest.RequestWindowView: void inflateView(boolean)>#201#243']]]], ['telephony/java/android/telephony/CarrierConfigManager.java', [[1194, 1194, 1, 0, []]], [[1267, 1271, 5, 0, []]]], ['services/core/java/com/android/server/policy/PhoneWindowManager.java', [[762, 764, 3, 0, []], [857, 859, 3, 0, []], [945, 969, 25, 43, ['<com.android.server.policy.PhoneWindowManager.PolicyHandler: void handleMessage(Message)>#881#971']], [2343, 2378, 36, 178, ['<com.android.server.policy.PhoneWindowManager: void updateSettings()>#2329#2453']]], [[660, 661, 2, 0, []], [752, 752, 1, 0, []], [824, 827, 4, 9, ['<com.android.server.policy.PhoneWindowManager.PolicyHandler: void handleMessage(Message)>#759#829']], [2066, 2069, 4, 13, ['<com.android.server.policy.PhoneWindowManager: void updateSettings()>#2054#2127']]]], ['core/java/android/app/ActivityManagerInternal.java', [[0, 0, 0, 0, []]], [[64, 70, 7, 8, ['<android.app.ActivityManagerInternal: void grantUriPermissionFromIntent(int,String,Intent,int)>#67#67']]]], ['core/java/com/android/internal/widget/LockPatternUtils.java', [[648, 648, 1, 7, ['<com.android.internal.widget.LockPatternUtils: void saveLockPattern(Cell>,String,int)>#640#668']]], [[643, 643, 1, 6, ['<com.android.internal.widget.LockPatternUtils: void saveLockPattern(Cell>,String,int)>#635#663']]]], ['core/java/com/android/internal/widget/LockPatternView.java', [[151, 151, 1, 0, []], [1153, 1159, 7, 30, ['<com.android.internal.widget.LockPatternView: void onDraw(Canvas)>#1102#1223']]], [[147, 149, 3, 0, []], [1108, 1117, 10, 39, ['<com.android.internal.widget.LockPatternView: void onDraw(Canvas)>#1057#1181']]]], ['packages/SystemUI/src/com/android/systemui/keyguard/KeyguardViewMediator.java', [[66, 68, 3, 0, []], [643, 646, 4, 14, ['<com.android.systemui.keyguard.KeyguardViewMediator: void setupLocked()>#636#699']]], [[68, 69, 2, 0, []], [668, 673, 6, 17, ['<com.android.systemui.keyguard.KeyguardViewMediator: void setupLocked()>#661#726']]]], ['packages/SystemUI/src/com/android/systemui/statusbar/phone/NavigationBarView.java', [[595, 595, 1, 3, ['<com.android.systemui.statusbar.phone.NavigationBarView: void reorient()>#589#608']]], [[568, 568, 1, 3, ['<com.android.systemui.statusbar.phone.NavigationBarView: void reorient()>#562#583']]]]]"
3572432232eec4d41f0dc865ba3d48cb5afb19d1,1,1,"[['core/java/com/android/internal/widget/LockPatternUtils.java', [[650, 650, 1, 7, ['<com.android.internal.widget.LockPatternUtils: void saveLockPattern(Cell>,String,int)>#643#674']]], [[642, 643, 2, 11, ['<com.android.internal.widget.LockPatternUtils: void saveLockPattern(Cell>,String,int)>#635#663']]]]]"
451829594ca21c0bac782b4b9393395a6fb1fb01,1,0,[]
0ec8cdfebf430286f894b463030a692f56724a85,82,32,"[['core/java/android/widget/PopupWindow.java', [[1397, 1398, 2, 8, ['<android.widget.PopupWindow: int computeGravity()>#1396#1402']]], [[1395, 1396, 2, 13, ['<android.widget.PopupWindow: int computeGravity()>#1394#1400']]]], ['packages/SettingsLib/src/com/android/settingslib/drawer/SettingsDrawerActivity.java', [[217, 220, 4, 10, ['<com.android.settingslib.drawer.SettingsDrawerActivity: void showMenuIcon()>#215#221']]], [[267, 269, 3, 13, ['<com.android.settingslib.drawer.SettingsDrawerActivity: void showMenuIcon()>#265#270']]]], ['services/core/java/com/android/server/ConnectivityService.java', [[80, 80, 1, 0, []], [3462, 3574, 113, 256, ['<com.android.server.ConnectivityService: void setProvNotificationVisibleIntent(boolean,int,NotificationType,int,String,PendingIntent,boolean)>#3489#3573', '<com.android.server.ConnectivityService: void setProvNotificationVisible(boolean,int,String)>#3465#3472']], [0, 0, 0, 0, []]], [[81, 81, 1, 0, []], [0, 0, 0, 0, []], [4138, 4140, 3, 2, ['<com.android.server.ConnectivityService: NetworkRequest requestNetwork(NetworkCapabilities,Messenger,int,IBinder,int)>#4124#4166']]]], ['packages/SystemUI/src/com/android/systemui/statusbar/policy/MobileSignalController.java', [[283, 299, 17, 60, ['<com.android.systemui.statusbar.policy.MobileSignalController: void mapIconSets()>#227#303']], [510, 510, 1, 6, ['<com.android.systemui.statusbar.policy.MobileSignalController: void handleBroadcast(Intent)>#496#514']], [1018, 1043, 26, 51, ['<com.android.systemui.statusbar.policy.MobileSignalController.MobilePhoneStateListener: void onDataConnectionStateChanged(int,int)>#1013#1044']]], [[199, 214, 16, 40, ['<com.android.systemui.statusbar.policy.MobileSignalController: void mapIconSets()>#160#218']], [474, 477, 4, 10, ['<com.android.systemui.statusbar.policy.MobileSignalController.MobilePhoneStateListener: void onServiceStateChanged(ServiceState)>#467#479']], [487, 493, 7, 15, ['<com.android.systemui.statusbar.policy.MobileSignalController.MobilePhoneStateListener: void onDataConnectionStateChanged(int,int)>#482#494']]]], ['telephony/java/android/telephony/ServiceState.java', [[322, 322, 1, 3, ['<android.telephony.ServiceState: void copyFrom(ServiceState)>#299#323']], [351, 351, 1, 3, ['<android.telephony.ServiceState: void <init>(Parcel)>#328#352']], [377, 377, 1, 3, ['<android.telephony.ServiceState: void writeToParcel(Parcel,int)>#354#378']], [688, 688, 1, 3, ['<android.telephony.ServiceState: boolean equals(Object)>#654#689']], [797, 797, 1, 2, ['<android.telephony.ServiceState: String toString()>#772#798']], [824, 824, 1, 2, ['<android.telephony.ServiceState: void setNullState(int)>#800#825']], [1027, 1027, 1, 4, ['<android.telephony.ServiceState: void fillInNotifierBundle(Bundle)>#1006#1028']]], [[323, 323, 1, 3, ['<android.telephony.ServiceState: void copyFrom(ServiceState)>#300#324']], [352, 352, 1, 4, ['<android.telephony.ServiceState: void <init>(Parcel)>#329#353']], [378, 378, 1, 5, ['<android.telephony.ServiceState: void writeToParcel(Parcel,int)>#355#379']], [689, 689, 1, 3, ['<android.telephony.ServiceState: boolean equals(Object)>#655#690']], [798, 798, 1, 2, ['<android.telephony.ServiceState: String toString()>#773#799']], [825, 825, 1, 2, ['<android.telephony.ServiceState: void setNullState(int)>#801#826']], [1029, 1029, 1, 6, ['<android.telephony.ServiceState: void fillInNotifierBundle(Bundle)>#1008#1030']]]], ['packages/SystemUI/src/com/android/systemui/statusbar/policy/TelephonyIcons.java', [[222, 223, 2, 0, []], [252, 252, 1, 0, []], [263, 263, 1, 0, []], [893, 907, 15, 0, []]], [[0, 0, 0, 0, []], [0, 0, 0, 0, []], [0, 0, 0, 0, []], [0, 0, 0, 0, []]]], ['services/core/java/com/android/server/NetworkManagementService.java', [[2872, 2895, 24, 0, []]], [[2779, 2792, 14, 20, ['<com.android.server.NetworkManagementService: int removeRoutesFromLocalNetwork(List<RouteInfo>)>#2780#2792']]]], ['telephony/java/android/telephony/DisconnectCause.java', [[197, 251, 55, 0, []], [261, 261, 1, 0, []], [268, 268, 1, 0, []], [377, 475, 99, 99, ['<android.telephony.DisconnectCause: String toString(int)>#276#479']]], [[197, 234, 38, 0, []], [244, 244, 1, 0, []], [251, 251, 1, 0, []], [360, 372, 13, 13, ['<android.telephony.DisconnectCause: String toString(int)>#259#376']]]], ['services/core/java/com/android/server/notification/ScheduleConditionProvider.java', [[132, 134, 3, 4, ['<com.android.server.notification.ScheduleConditionProvider: void onUnsubscribe(Uri)>#130#136']], [153, 160, 8, 29, ['<com.android.server.notification.ScheduleConditionProvider: void evaluateSubscriptions()>#148#179']]], [[138, 139, 2, 5, ['<com.android.server.notification.ScheduleConditionProvider: void onUnsubscribe(Uri)>#136#141']], [159, 174, 16, 50, ['<com.android.server.notification.ScheduleConditionProvider: void evaluateSubscriptions()>#153#188']]]], ['services/core/java/com/android/server/LockSettingsService.java', [[1246, 1250, 5, 22, ['<com.android.server.LockSettingsService: VerifyCredentialResponse checkPattern(String,int)>#1246#1251']], [1311, 1316, 6, 22, ['<com.android.server.LockSettingsService: VerifyCredentialResponse checkPassword(String,int)>#1311#1317']]], [[1210, 1212, 3, 16, ['<com.android.server.LockSettingsService: VerifyCredentialResponse checkPattern(String,int,ICheckCredentialProgressCallback)>#1210#1213']], [1281, 1283, 3, 16, ['<com.android.server.LockSettingsService: VerifyCredentialResponse checkPassword(String,int,ICheckCredentialProgressCallback)>#1281#1284']]]], ['services/core/java/com/android/server/pm/PackageManagerService.java', [[312, 313, 2, 0, []], [543, 543, 1, 0, []], [2324, 2324, 1, 1, ['<com.android.server.pm.PackageManagerService: void <init>(Context,Installer,boolean,boolean)>#2243#2935']], [2878, 2882, 5, 5, ['<com.android.server.pm.PackageManagerService: void <init>(Context,Installer,boolean,boolean)>#2243#2935']]], [[0, 0, 0, 0, []], [541, 544, 4, 0, []], [2116, 2118, 3, 4, ['<com.android.server.pm.PackageManagerService: void <init>(Context,Installer,boolean,boolean)>#2057#2717']], [2663, 2664, 2, 4, ['<com.android.server.pm.PackageManagerService: void <init>(Context,Installer,boolean,boolean)>#2057#2717']]]], ['media/java/android/media/MediaFile.java', [[85, 88, 4, 0, []]], [[72, 74, 3, 0, []]]], ['telephony/java/com/android/internal/telephony/RILConstants.java', [[416, 419, 4, 0, []], [470, 471, 2, 0, []]], [[412, 413, 2, 0, []], [464, 464, 1, 0, []]]], ['core/java/android/provider/Settings.java', [[6322, 6322, 1, 0, []]], [[6432, 6442, 11, 0, []]]], ['services/core/java/com/android/server/display/LocalDisplayAdapter.java', [[184, 215, 32, 71, ['<com.android.server.display.LocalDisplayAdapter.LocalDisplayDevice: boolean updatePhysicalDisplayInfoLocked(PhysicalDisplayInfo[],int)>#180#326']]], [[0, 0, 0, 0, []]]], ['services/core/java/com/android/server/location/GpsXtraDownloader.java', [[26, 27, 2, 0, []]], [[0, 0, 0, 0, []]]], ['telecomm/java/android/telecom/Conference.java', [[271, 279, 9, 6, ['<android.telecom.Conference: void onAddParticipant(String)>#276#276']]], [[273, 274, 2, 0, []]]], ['services/java/com/android/server/SystemServer.java', [[35, 36, 2, 0, []], [1211, 1211, 1, 1, ['<com.android.server.SystemServer: void startOtherServices()>#528#1482']]], [[0, 0, 0, 0, []], [1175, 1179, 5, 10, ['<com.android.server.SystemServer: void startOtherServices()>#517#1435']]]], ['telephony/java/android/telephony/CarrierConfigManager.java', [[619, 622, 4, 0, []], [727, 750, 24, 0, []], [893, 897, 5, 0, []]], [[695, 709, 15, 0, []], [850, 990, 141, 0, []], [1143, 1166, 24, 0, []]]], ['services/core/java/com/android/server/connectivity/Tethering.java', [[74, 74, 1, 0, []], [86, 87, 2, 0, []], [184, 193, 10, 0, []], [285, 288, 4, 13, ['<com.android.server.connectivity.Tethering: void interfaceStatusChanged(String,boolean)>#281#318']], [308, 310, 3, 5, ['<com.android.server.connectivity.Tethering: void interfaceStatusChanged(String,boolean)>#281#318']], [1968, 1971, 4, 13, ['<com.android.server.connectivity.Tethering.TetherMasterSM.TetherMasterUtilState: void chooseUpstreamType(boolean)>#1910#1995']], [0, 0, 0, 0, []]], [[73, 75, 3, 0, []], [0, 0, 0, 0, []], [179, 180, 2, 0, []], [0, 0, 0, 0, []], [278, 286, 9, 14, ['<com.android.server.connectivity.Tethering: void interfaceStatusChanged(String,boolean)>#262#291']], [1442, 1442, 1, 5, ['<com.android.server.connectivity.Tethering.TetherMasterSM.TetherMasterUtilState: void chooseUpstreamType(boolean)>#1381#1478']], [1459, 1459, 1, 4, ['<com.android.server.connectivity.Tethering.TetherMasterSM.TetherMasterUtilState: void chooseUpstreamType(boolean)>#1381#1478']]]], ['media/java/android/media/SoundPool.java', [[508, 524, 17, 23, ['<android.media.SoundPool: boolean isRestricted()>#507#529']]], [[508, 512, 5, 2, ['<android.media.SoundPool: boolean isRestricted()>#507#533']]]], ['telephony/java/android/telephony/RadioAccessFamily.java', [[0, 0, 0, 0, []], [0, 0, 0, 0, []], [311, 311, 1, 7, ['<android.telephony.RadioAccessFamily: int getNetworkTypeFromRaf(int)>#242#320']]], [[51, 52, 2, 0, []], [51, 51, 1, 0, []], [335, 335, 1, 6, ['<android.telephony.RadioAccessFamily: int getNetworkTypeFromRaf(int)>#266#344']]]], ['services/core/java/com/android/server/AlarmManagerService.java', [[2665, 2667, 3, 2, ['<com.android.server.AlarmManagerService.AlarmThread: void run()>#2555#2672']]], [[2555, 2557, 3, 2, ['<com.android.server.AlarmManagerService.AlarmThread: void run()>#2443#2562']]]], ['packages/SystemUI/src/com/android/systemui/statusbar/phone/KeyguardBottomAreaView.java', [[708, 713, 6, 13, ['<com.android.systemui.statusbar.phone.KeyguardBottomAreaView: void updateEmergencyButton()>#708#714']]], [[740, 742, 3, 5, ['<com.android.systemui.statusbar.phone.KeyguardBottomAreaView: void onKeyguardShowingChanged()>#740#743']]]], ['packages/SystemUI/src/com/android/systemui/statusbar/phone/PhoneStatusBar.java', [[79, 79, 1, 0, []]], [[96, 96, 1, 0, []]]], ['packages/SystemUI/src/com/android/systemui/statusbar/phone/KeyguardStatusBarView.java', [[152, 154, 3, 15, ['<com.android.systemui.statusbar.phone.KeyguardStatusBarView: void updateVisibilities()>#143#155']]], [[158, 168, 11, 23, ['<com.android.systemui.statusbar.phone.KeyguardStatusBarView: void updateVisibilities()>#149#169']]]], ['core/java/android/bluetooth/BluetoothHeadset.java', [[997, 997, 1, 0, []]], [[1012, 1037, 26, 32, ['<android.bluetooth.BluetoothHeadset: void bindResponse(int,boolean)>#1022#1033']]]], ['core/java/android/app/DownloadManager.java', [[1092, 1092, 1, 6, ['<android.app.DownloadManager: Uri getUriForDownloadedFile(long)>#1080#1102']]], [[1092, 1092, 1, 6, ['<android.app.DownloadManager: Uri getUriForDownloadedFile(long)>#1080#1102']]]], ['services/core/java/com/android/server/notification/NotificationManagerService.java', [[96, 97, 2, 0, []], [310, 311, 2, 0, []]], [[0, 0, 0, 0, []], [310, 310, 1, 0, []]]], ['packages/SystemUI/src/com/android/systemui/statusbar/policy/NetworkControllerImpl.java', [[926, 933, 8, 34, ['<com.android.systemui.statusbar.policy.NetworkControllerImpl.Config: Config readConfig(Context)>#916#935']]], [[876, 876, 1, 7, ['<com.android.systemui.statusbar.policy.NetworkControllerImpl.Config: Config readConfig(Context)>#866#878']]]], ['packages/Keyguard/src/com/android/keyguard/KeyguardUpdateMonitor.java', [[140, 140, 1, 0, []], [280, 281, 2, 0, []], [0, 0, 0, 0, []], [767, 767, 1, 0, []]], [[139, 140, 2, 0, []], [291, 297, 7, 0, []], [458, 458, 1, 3, ['<com.android.keyguard.KeyguardUpdateMonitor: void handleFingerprintAuthenticated(int)>#457#480']], [766, 768, 3, 0, []]]], ['packages/SystemUI/src/com/android/systemui/statusbar/policy/NetworkController.java', [[47, 53, 7, 17, ['<com.android.systemui.statusbar.policy.NetworkController.SignalCallback: void setMobileDataIndicators(IconState,IconState,int,int,boolean,boolean,int,int,int,int,String,String,boolean,int)>#47#47', '<com.android.systemui.statusbar.policy.NetworkController.SignalCallback: void setSubs(List<SubscriptionInfo>)>#52#52', '<com.android.systemui.statusbar.policy.NetworkController.SignalCallback: void setNoSims(boolean)>#53#53']]], [[47, 51, 5, 37, ['<com.android.systemui.statusbar.policy.NetworkController.SignalCallback: void setSubs(List<SubscriptionInfo>)>#50#50', '<com.android.systemui.statusbar.policy.NetworkController.SignalCallback: void setMobileDataIndicators(IconState,IconState,int,int,boolean,boolean,String,String,boolean,int)>#47#49', '<com.android.systemui.statusbar.policy.NetworkController.SignalCallback: void setNoSims(boolean)>#51#51']]]]]"
