branch,total,conflict
4.4.2,1,1
oreo-mr1,48,19
quartz-backup,101,53
marshmallow-caf,5,5
oreo,6,1
nougat-mr2-bot,4,3
quartz-rebase,1,1
marshmallow,15,5
nougat-mr2,0,0
lollipop-mr1,2,1
oreo-mr1-bot,0,0
quartz-bot,6,2
pie,0,0
nougat,1,0
quartz-04282020,0,0
lollipop-mr1-bak,4,1
nougat-mr1,1,1
bacon,2,1
quartz-dev,0,0
oreo-bot,0,0
adb,0,0
pie-qssi,0,0
ruby,59,45
pie-bot,0,0
lollipop,0,0
kitkat,0,0
quartz,0,0
